具体地址,小区名称,格局,总价,每平米价格,朝向,面积,楼层,装修,房屋结构
双城区,中天富城,3室2厅,110,8106,南 北,135.71,18,精装,暂无数据
双城区,中天富城,3室1厅,125,13421,南,93.14,18,其他,暂无数据
双城区,东实碧水湾,3室1厅,42,5957,西北,70.51,6,其他,暂无数据
双城区,碧桂园欧洲城,4室2厅,270,13500,南 北,200,3,其他,暂无数据
双城区,新祥里小区,3室1厅,77,6815,南 北 西,113,8,其他,暂无数据
双城区,兴建小区会宾家园,2室1厅,65,6770,南 北,96.02,6,精装,板楼
双城区,建安小区,1室0厅,6,2069,南 北,29,5,简装,暂无数据
双城区,东轻家园,2室2厅,75,9817,南 北,76.4,8,其他,暂无数据
双城区,兴建小区会宾家园,2室1厅,70,7111,南 北,98.44,6,其他,板楼
双城区,东实碧水湾,2室1厅,90,9189,南 北,97.95,17,其他,暂无数据
双城区,绿色新城西区,2室2厅,29,4136,南 北,70.12,7,其他,板楼
双城区,东方小区A区,2室1厅,40,5556,南,72,7,其他,暂无数据
双城区,百利小区南区,2室1厅,54,5243,南 北,103,7,其他,暂无数据
双城区,中天富城,2室1厅,87,9952,东南,87.42,9,其他,暂无数据
双城区,百利小区南区,2室1厅,39.8,3631,南 北,109.62,7,其他,暂无数据
双城区,中天富城,2室2厅,104,9775,南 北,106.4,18,其他,暂无数据
双城区,中天富城,2室2厅,80,13758,南,58.15,12,其他,暂无数据
双城区,和苑,2室1厅,90,7545,南 北,119.3,18,其他,暂无数据
双城区,兴建小区会宾家园,2室1厅,59,5674,南 北,104,6,其他,板楼
双城区,上海新村,1室1厅,34,5965,南,57,7,其他,暂无数据
双城区,机电小区,2室1厅,56,7000,南 北,80,7,其他,暂无数据
双城区,中天富城,2室1厅,88,9284,南,94.79,18,其他,暂无数据
双城区,和苑,2室1厅,75,8153,东 北,92,16,其他,暂无数据
双城区,东方小区B区,3室1厅,69.5,5583,南 北 东,124.5,8,其他,暂无数据
双城区,和苑,2室1厅,84,10147,西 西北,82.79,16,其他,暂无数据
双城区,兴建小区乐平家园,2室1厅,34,6297,南 北,54,6,其他,板楼
双城区,东方小区B区,2室1厅,63,6000,南 北,105,7,其他,暂无数据
双城区,绿色新城二期,1室1厅,53,8689,南,61,11,其他,板楼
双城区,星耀南城,2室1厅,70,8974,南 北,78.01,18,简装,板塔结合
双城区,东方小区A区,3室1厅,55,4182,南 北,131.52,7,简装,暂无数据
